ETIQUETA;NOMBRE;PRIORIDAD;PROYECTO;TIPO ACTUACIÓN;COORDENADA X;COORDENADA Y;Longitud;Latitud
AG.15.02;Parque San Juan Bautista;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;444219,75;4477723,147;-3.6577924;40.4482941
AG.15.03;Poblados Hermanos García Noblejas;2020-2024;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;445991,2;4476108,451;-3.6367664;40.433865
MP.20.02;Canillejas;2020-2024;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;448185,9185;4477284,533;-3.6109879;40.4445994
AG.20.01;Barrio Simancas;2020-2024;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;446885,8;4475701,897;-3.6261856;40.4302602
AG.20.02;Virgen del Camino;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;448476,35;4476896,091;-3.6075318;40.4411182
AG.20.03;Parcelas D, E, CC, H Gran San Blas;2017-2020;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;447385,05;4475501,404;-3.6202835;40.4284857
IT.20.03;Recentralizando San Blas;2017-2020;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;447448,973;4475596,84;-3.6195379;40.4293495
AO.20.02;Plaza Cívica San Blas;2017-2020;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;447658,538;4475433,455;-3.6170539;40.4278909
AO.20.03;Área Dotacional Camino de Vicálvaro a Canillejas;2024-2028;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;447988,5;4475091,829;-3.6131362;40.4248339
AO.20.04;Calle Argenta;2024-2028;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;447794,7565;4474943,974;-3.6154079;40.4234898
AO.20.05;Plaza Alsacia;2024-2028;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;447239,8;4474279,382;-3.6218944;40.4174678
AG.09.01;Colonia Valdezarza;2017-2020;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;439823,05;4479401,236;-3.7097962;40.4631044
AG.09.02;Casco de Aravaca;2017-2020;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;433819,6;4478921,806;-3.7805518;40.4583291
AG.09.03;Colonia Saconia;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;438809,65;4479976,013;-3.7218039;40.4682081
AG.09.04;Santa Pola;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;437575,1;4475926,389;-3.7359675;40.4316358
AG.09.05;Colonia San Antonio de la Florida;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;437957,15;4475324,873;-3.7314049;40.4262457
IT.09.02;Del Teatro al Ferrocarril;2020-2024;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;438741,1845;4475605,089;-3.7221899;40.4288281
AO.09.04;Del teatro al ferrocarril;2024-2028;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;438387,4;4475193,286;-3.7263205;40.4250923
IT.09.03;Ribera del Manzanares;2024-2028;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;438160,42;4475315,982;-3.7290079;40.4261807
AO.09.03;El Nuevo Aravaca;2020-2024;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;433348,2075;4478669,827;-3.7860846;40.4560215
MP.11.04;Glorieta del Ejercito-Palacio Vista Alegre;2020-2024;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;437272,6205;4471165,69;-3.739064;40.3887267
AC.14.02;La Lonja - El Torito;2020-2024;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Centralidad;444970,04;4473056,101;-3.6485411;40.4063007
AC.19.01;Casco Histórico de Vicálvaro;2020-2024;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Centralidad;448448,5685;4472810,853;-3.6075282;40.404314
AC.16.02;Casco Histórico de Hortaleza y entorno;2020-2024;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Centralidad;445767,796;4480308,914;-3.6397589;40.4716904
AC.17.01;Casco de Villaverde Alto;2020-2024;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Centralidad;439694,71;4466242,956;-3.7100632;40.344559
AC.18.02;Casco Histórico de Vallecas;2020-2024;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Centralidad;446979,551;4470281,796;-3.6246289;40.3814384
IT.15.02;Re-Emplazar Ciudad Lineal;2020-2024;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;445008,761;4475215,394;-3.6482715;40.4257554
MP.08.02;Casco Histórico de Fuencarral;2020-2024;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;441619,5725;4482938,441;-3.6889331;40.4950971
AG.10.02;Barrio de Los Cármenes;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;437118,15;4471900,131;-3.7409564;40.3953313
AG.10.03;Poblado Dirigido de Caño Roto;2020-2024;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;436773,1;4472212,912;-3.745053;40.3981228
IT.16.01;Hortaleza Saludable;2017-2020;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;445759,85;4480148,013;-3.6398389;40.4702404
IT.06.03;Pza. Remonta - Ventilla;2020-2024;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;440992,1515;4479615,469;-3.6960274;40.4651181
IT.20.01;Medioambiental Ciudad Pegaso-Fin de Semana;2020-2024;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;450803,4135;4477147,009;-3.5801135;40.4435196
IT.20.02;De Centro a Centro;2017-2020;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;447964,7365;4475442,276;-3.613445;40.4279895
MP.16.02;Norte de Canillas;2020-2024;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;444932,3385;4479591,202;-3.6495517;40.46517
AO.11.05;Calle Navalonda;2024-2028;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;439226,6205;4471552,89;-3.7160804;40.3923597
AO.11.06;Comillas;2024-2028;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;439400,4445;4471436,474;-3.7140214;40.3913236
AO.17.05;Arroyo Butarque;2024-2028;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;439321,0255;4466844,686;-3.7145199;40.3499526
AO.17.03;Ferroviario Butarque;2024-2028;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;442254,55;4466095,544;-3.6799111;40.3434121
AO.17.04;Escuela de Automovilismo;2024-2028;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;441325,273;4465338,738;-3.6907824;40.3365295
AO.08.05;Poligono B de Fuencarral;2017-2020;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;441962,216;4482288,47;-3.6848303;40.4892659
AO.08.06;Poligono A de Fuencarral;2017-2020;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;441601,428;4482596,406;-3.6891156;40.4920147
AO.08.07;Casco Histórico de Fuencarral;2024-2028;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;441914,4195;4482875,57;-3.6854481;40.4945514
